sales	year	month	date
   68.76	    1998	 8	AUG 1998
   70.98	    1998	 9	SEP 1998
   71.81	    1998	10	OCT 1998
   68.36	    1998	11	NOV 1998
   62.73	    1998	12	DEC 1998
   69.59	    1999	 1	JAN 1999
   75.00	    1999	 2	FEB 1999
   70.08	    1999	 3	MAR 1999
   68.14	    1999	 4	APR 1999
   68.97	    1999	 5	MAY 1999
   77.88	    1999	 6	JUN 1999
   77.40	    1999	 7	JUL 1999
   78.73	    1999	 8	AUG 1999
   78.40	    1999	 9	SEP 1999
   80.69	    1999	10	OCT 1999
   72.46	    1999	11	NOV 1999
   73.21	    1999	12	DEC 1999
   78.21	    2000	 1	JAN 2000
   82.27	    2000	 2	FEB 2000
   77.18	    2000	 3	MAR 2000
   75.03	    2000	 4	APR 2000
   77.68	    2000	 5	MAY 2000
   80.97	    2000	 6	JUN 2000
   85.07	    2000	 7	JUL 2000
   88.33	    2000	 8	AUG 2000
   83.34	    2000	 9	SEP 2000
   85.70	    2000	10	OCT 2000
   80.50	    2000	11	NOV 2000
   77.18	    2000	12	DEC 2000
   86.72	    2001	 1	JAN 2001
   90.20	    2001	 2	FEB 2001
   85.22	    2001	 3	MAR 2001
   80.38	    2001	 4	APR 2001
   82.78	    2001	 5	MAY 2001
   90.55	    2001	 6	JUN 2001
   92.07	    2001	 7	JUL 2001
   92.74	    2001	 8	AUG 2001
   91.77	    2001	 9	SEP 2001
   92.96	    2001	10	OCT 2001
   89.69	    2001	11	NOV 2001
   83.62	    2001	12	DEC 2001
   94.28	    2002	 1	JAN 2002
   98.89	    2002	 2	FEB 2002
   91.09	    2002	 3	MAR 2002
   93.84	    2002	 4	APR 2002
   94.17	    2002	 5	MAY 2002
  103.06	    2002	 6	JUN 2002
  102.29	    2002	 7	JUL 2002
  102.31	    2002	 8	AUG 2002
  100.15	    2002	 9	SEP 2002
  101.03	    2002	10	OCT 2002
  101.27	    2002	11	NOV 2002
   97.94	    2002	12	DEC 2002
